ProductID,SubcategoryID,Product Name,Product Description,PriceEach,Cost,SKU,Active
49,20,Rotini / Rotelli Pasta ORG,"Rotini pasta, durum wheat",2.59,1.45,5147,Yes
50,7,"Eco Nuts, in bag",eco nuts in bags,1.8,1.1,4011,No
51,4,Small glass salve w cap 1oz,small glass salve or lip gloss jar 1 oz,1.69,1.1,4047,No
52,12,Sugar - Brown LIGHT ORG,"organic brown sugar, vegan,",1.88,1.11,5179,No
53,9,Tea Ball,stainless steel tea ball,2.14,1.12,1009,Yes
54,1,16oz Spray Bottle - Clear,16oz glass spray bottle,3.09,1.74,4031,Yes
55,17,Z_VOID: WHLS- raw O sunflower seeds by the lb,Raw Organic Sunflower Seeds,1.77,1.15,W50176,No
56,17,Brown Rice ORG,"Organic brown long grain rice, Dougets farm",2.09,1.36,5165,Yes
57,17,Popcorn ORG,Organic yellow popcorn,2.05,1.33,5174,Yes
58,1,4oz Bottle blue glass Boston round,4 oz blue glass boston round bottle with black lid,1.92,1.28,4023,No
59,1,2oz Dropper Bottle,,2.29,1.34,4036,Yes
60,4,32oz Mason Jar,32oz regular mouth clear mason jar,1.98,1.1,4050,Yes
61,1,8oz Bottle With Lid - Blue,"8oz blue boston round bottle, glass, with black lid",2.29,1.33,4021,Yes
62,1,Soy sauce bottle w gr lid,"Green lid, glass soy sauce bottle",2.21,1.33,4029,No
63,21,"Spoon Bamboo 10""","10"" Bamboo spoon",2.49,1.35,1014,No
64,21,"Corner spoon 12"" bamboo","12"" corner bamboo spoon",2.89,1.35,1015,No
65,1,"plastic, spray bottle w trigger",round HDPE clear plastic bottle with black spray trigger,2.29,1.36,4025,No
66,1,2.7oz Aluminum Spray Bottle,2.7 oz aluminum bottle with sprayer,1.89,0.88,4033,Yes
67,1,"plastic, round body care w pump",round HDPE clear plastic bottle with pump white or black,2.29,1.39,4026,No
68,17,Rice - Golden Rose Brown ORG,,2.71,1.76,5163,Yes
69,1,2oz  Blue w/ pump,"2 oz small blue boston round with black pump, for oil or lotion",2.29,1.42,4028,No
70,17,Oats - Rolled CONV,,0.99,0.64,5169,No
71,22,Mini glass syrup w cap,mini glass syrup jug with black cap,3.19,1.47,4059,No
72,17,Sunflower Seeds - Roasted Salted,Roasted Salted Sunflower Seeds,3.47,2.55,5171,No
73,23,Olio The Balm,"The balm, Olio lip balm",2.98,1.49,2015,No
74,3,Produce Bag,"Garden Sac produce bag, mesh cotton",2.75,1.35,4015,Yes
75,18,Green Lentils ORG,Green Organic Lentils,3.03,1.97,5017,Yes
76,7,EcosPro Laundry Detergent - Magnolia Lily,OOS Ecos Pro laundry detergent,2.25,1.41,4006,Yes
77,18,Garbanzo Beans / Chickpeas ORG,Organic garbanzo beans (chick peas),2.97,1.93,5015,Yes
78,6,EcosPro Dish Soap - Hand Washing,"Eco Pro dishwashing liquid, biodegradeable",1.92,1.03,4000,Yes
79,1,4oz w/ dropper,4 oz glass bottle with dropper,2.69,1.55,4024,No
80,18,Black Turtle Beans ORG,"Organic black turtle beans, triple washed",2.21,1.32,5014,Yes
81,18,Red Lentils ORG,Organic red lentils,2.69,1.65,5013,Yes
82,13,Bobs GF All Purpose Flour,Bobs Red Mill all purpose flour,2.78,1.58,5006,Yes
83,3,black Non-woven tote,black non woven reusable tote,2.29,1.64,1000,No
84,24,Soy Sauce - Kikkoman ORG,Kikkomans Organic soy sauce,3.69,1.68,5041,Yes
85,25,TVP - Bobs Red Mill,"TVP, tectured vegetable protein, soy meat, Bob Red Mill",5.69,2.2,5122,Yes
86,66,TVP - Bobs Red Mill,"TVP, tectured vegetable protein, soy meat, Bob Red Mill",5.69,2.2,5122,Yes
87,17,Rice - White Basmati ORG,,3.16,2.12,5168,No
88,7,EcosPro Laundry Detergent - Free & Clear,Ecos Pro unscented laundry detergent,2.25,1.41,4005,Yes
89,11,Arrowroot Powder,Arrowroot Powder,3.18,2.07,5011,Yes
90,17,Flax Seed MEAL ORG,"Organic Flax Seed Meal, ground",5.12,2.99,5173,No
91,17,Quinoa - Red ORG,Organic red quinoa,2.89,1.79,5164,No
92,8,Apple Cider Vinegar Aunt Pattys ORG,Organic unflitered Aunt Patty Apple Cider Vinegar,2.84,1.79,5211,No
93,17,Flax Seed ORG,Organic Golden Flax Seed,3.84,1.82,5170,Yes
94,26,Citric Acid,citric acid,2.86,1.43,5215,Yes
95,23,Vegetable Glycerin,Liquid Vegetable Glycerin,3.84,1.84,2014,Yes
96,27,Gummy Worms - Albanese,"Gummy worms, albanese, made in USA",3.53,2.12,5019,Yes
97,1,8oz Pump Bottle - Blue,"Soap bottle, 8oz blue boston round bottle, glass with black soap pump",3.08,1.85,4030,Yes
98,3,Non-woven 6 comp,"black non-woven tote, 6 compartment",3.89,1.89,1005,No
99,3,Grain Sack 8x10 ORG,8x10 organic grain sac,2.89,1.9,4014,Yes
100,8,Apple Cider Vinegar Bragg's ORG,"Apple cider vinegar, Braggs unfiltered, organic",2.94,1.9,5206,No
101,19,Redmond Bath Salts,"Redmond balth sea salts, local",3.22,1.93,2018,No
102,17,White Sesame Seeds,"white sesame seeds, nonGMO",3.79,1.52,5162,Yes
103,3,Nut Milk Bag ORG,"nut milk bag, organic cotton with draw string",3.85,1.95,4018,Yes
104,17,Quinoa - White Organic,Organic quinoa,3.14,2.04,5160,No
105,17,Quinoa ORG,Organic Red Quinoa,4.43,2.66,5175,Yes
106,14,Castor Oil,raw body care ingredients. castor oil gallon,5.98,3.89,3003,Yes
107,28,"Wool Dryer Balls, Each","Wool dryer balls, 100% felted wool, Eco Nuts brand",3.33,2.1,1018,Yes
108,29,Raisins ORG,"Organic Thompson, CA select raisins",4.38,2.58,5050,Yes
109,13,WHLS Coconut flour (fiber) ORG,Organic Fair Trade coconut fiber,78.15,66.43,5060,Yes
110,30,CRU Kombucha,Locally made Cru Kombucha,4.32,2.32,5121,Yes
111,29,Coconut Medium Flake ORG,Shredded coconut. Organic medium flake coconut,3.85,2.5,5053,Yes
112,31,Evaporated Coconut Milk,Evaporated coconut milk,3.53,2.3,5025,No
113,3,Grain Sack 10x12 ORG,"10x12 grain sack, organic cotton with draw string",3.59,2.3,4016,Yes
114,32,Biokleen BAC-OUT,Biokleen BAC-OUT,4.33,2.66,4076,No
115,17,Raw Pumpkin Seeds ORG,"Raw pepitas (pumpkin seeds), organic",7.89,5,5157,Yes
116,22,Clear medium growler w cap,clear glass maple syrup jug with cork in balck cap,4.79,2.44,4058,No
117,33,Real Salt - Sea Salt,"Real Salt, ancient sea salt, utah product",4.43,2.66,5150,Yes
118,23,Shea Butter,Refined expeller pressed shea butter,4.49,2.64,2011,Yes
119,3,Grain sac 12x15,"12x15 grain sac, organic cotton with draw string",3.89,2.45,4017,No
120,29,Ginger - Crystallized,"sliced unsulphered ginger crystalized, product of thailand",4.49,2.8372,5051,Yes
121,4,"Heremes canister, 1.2 Qt","glass canister, medium, white ring, Heremes 1.2 Qt",4.98,2.73,4054,No
122,29,Coconut Chips ORG,Organic Coconut Chips,4.58,2.75,5056,No
123,15,Bamboo Toothbrush,bamboo toothbrush,3.25,1.75,1006,Yes
124,19,Dead Sea Salt,body care dead sea salt,2.85,1.53,2016,Yes
125,12,Agave ORG,Organic blue light agave,8.29,4.43,5188,Yes
126,1,Tall glass oil or vinegar bottle w cap,"clear glass olive oil bottle, tall, with cork in plastic cap",3.89,1.72,4022,Yes
127,11,Chocolate Chips Mini Milk,"Milk chocolate chips, Callebaut, mini chips",5.48,2.92,5009,No
128,17,Chia Seeds ORG,Black organic chia seeds,5.44,3.06,5158,Yes
129,34,"Floss Dental Lace, Refills","Refill box of two, Dental Lace",5.95,3.57,2021,No
130,35,Granola French Vanilla ORG,Organic French Vanilla Granola,5.3,3,5027,No
131,36,Chai - Concentrate Bhakti,Concentrated Chai Bhakti,4.99,3.09,5203,No
132,12,Coconut Sugar ORG,Organic Coconut Sugar,5.77,3.45,5184,Yes
133,37,"Canister, chalkboard w/spoon",White and chalkboard canister with spoon,5.18,3.14,4039,No
134,20,Penne Pasta ORG,natural value,2.59,1.45,5149,Yes
135,38,Peanuts - Dry Roasted ORG,dry roasted organic peanuts,5.32,2.99,5134,Yes
136,11,Cocoa Powder Callebaut 10-12%,Callebaut cocoa 10-12%,5.48,3.29,5003,No
137,13,Pamela's GF Baking Mix,Pamela's Gluten Free baking and pancake mix,4.33,2.6,5005,Yes
138,24,Tamari GF ORG,tamari gluten free organic,5.56,3.43,5042,Yes
139,12,Honey ORG,organic clover honey,6.87,4.12,5182,Yes
140,8,Balsamic Vinegar ORG,OOS Organic Napa Valley Balsamic Vinegar,5.59,3.33,5207,Yes
141,34,Floss activ. charcoal dental,"dental floss, 30 yards",5.58,3.35,2019,No
142,12,"WHLS- Coconut Sugar ORG 5lb, Aunt Patty's",Organic coconut sugar 5lb bag,17.2,14.62,W50183,Yes
143,11,Cream of Tarter,cream of tarter in household cleaners,5.67,3.4,5000,No
144,39,Peanut Butter - natural,,2.64,1.72,5127,No
145,33,Grey Celtic Sea Salt,light grey celtic sea salt,5.31,3.45,5153,Yes
146,29,Dried Cranberries,"Cranberries, dried, apple juice sweetend.",7.18,4.31,5055,Yes
147,11,Chocolate Chips Milk Guittard,Guittard milk chocolate chips 350 count per lb.,5.48,3.56,5029,No
148,4,"Heremes Jar, Medium 2.1 Quart",medium bail and trigger Heremes Jar,6.21,3.6,4055,No
149,40,Olive Oil - Extra Virgin ORG,Organic Aunt Patty's Olive Oil,6.89,4.17,5145,No
150,21,"Bamboo utensil set, 3 pc","3 pc set spoon, knife, fork. bamboo.",0,3.66,1016,No
151,22,"Growler, 32 oz amber","32oz amber growler, glass, with black lid",6.49,2.075,4061,No
152,4,Glass hinged 67.50 oz,"Clear glass hinged jar, 67.50 oz",6.23,3.74,4048,No
153,21,Scrub Brush Eco Clean,Eco Clean veggie scrub brush,6.42,3.85,1023,No
154,2,Lid wide mouth w/o band PACK,,5.97,3.88,4066,Yes
155,8,Balsamic  Vinegar - Spectrum,"Spectrum natural balsamic vinegar, not organic.",6,3.9,5209,No
156,32,Dr Bronners Sal Suds All Purpose Cleaner,sal suds by Dr. Bronners concentrated cleaner,6.24,3.99,4009,Yes
157,13,Almond Flour GF,natural extra fine gluten free almond flour,7.67,4.6,5059,Yes
158,27,"Mini Marshmallows, Chocolate Covered",,12.29,6.4,5020,Yes
159,22,"Growler, small glass with cork",,6.59,3.96,4060,No
160,34,Floss Dental Lace,Dental Lace floss with glass jar,7.87,4.71,2020,No
161,37,"Canister, SM ceramic dipped, white and cream",Ceramic dipped cream and white canister SMALL,4.89,3.99,4040,No
162,22,"Growler, 64oz Amber glass",glass amber brown growler with black lid 64 oz,8.49,4.05,4057,No
163,41,EO Hand Soap - Lemon Eucalyptus,EO lemon/euc handsoap in BULK,7.49,4.05,2006,Yes
164,41,EO Hand Soap Unscented,EO unscented handsoap unscented,7.49,4.05,2049,No
165,42,ShiKai Shampoo - Color Care,Shikai color care shampoo in BULK,7.5,4.5,2035,Yes
166,42,Shikai Conditioner Everyday,Shikai natural everyday conditioner in BULK,7.5,4.5,2044,No
167,43,Chili Powder Salt Free,"Aunt Patty's Chilli Powder, salt free, 5lb bag",11.04,4.19,5114,No
168,20,Supergrain Pasta GF,"Quinoa GF pasta, ancient 
grains",6.48,4.21,5148,Yes
169,27,"Elements Chocolate Bar, Raw Chocolate",,6.98,4.29,5034,Yes
170,40,Coconut Oil - Unrefined ORG,"Organic coconut oil, unrefined, extra virgin, 2/10lb",10.57,6.34,5139,Yes
171,11,Cornstarch ORG,Organic Frontier Cornstarch,7.22,2.76,5002,Yes
172,44,Alba Botanica Lotion - Unscented,Body lotion Alba Botanica unscented,6.83,4.35,2050,Yes
173,11,Baking Powder,double acting aluminum free baking powder,6.74,4.38,5004,Yes
174,45,Eggs 18ct Farmers Hen House,18 pack organic Farmers Hen House eggs,6.75,4.39,5048,No
175,42,Earth Science Shampoo - Unscented,Shampoo BULK Earth Science unscented,7.89,4.42,2037,Yes
176,42,Earth Science Conditioner - Unscented,Conditioner BULK Earth Science unscented,7.89,4.42,2038,Yes
177,41,EO Shower Gel Lavender,BULK EO lavender shower gel,9.12,4.42,2002,No
178,42,Shikai Conditioner - Tea Tree,Shikai tea tree conditioner in BULK,7.5,4.5,2036,Yes
179,42,Shikai Shampoo - Tea Tree,Shikai tea tree shampoo in BULK,7.5,4.5,2041,Yes
180,41,Dr Bronners Castile Soap - Peppermint,Dr Bronners peppermint soap,7.52,5.06,2004,Yes
181,21,SKOY Scrubbies 2pk,Abrasive scrubby 2 pack,9.69,5.69,1022,Yes
182,12,WHLS- Maple Syrup Processing Gr 55lb,Grade B maple syrup for processing,299.27,254.38,W50187,Yes
183,4,Large Heremes,Large Hermes jar,6.59,4.65,4049,No
184,12,Maple Syrup ORG,Organic Coombs maple syrup,10.29,6.07,5181,Yes
185,11,Dry Active Yeast,Active Dry Yeast,10.53,6.32,5012,Yes
186,11,Semi Sweet Chocolate Chips - MINI,,4.95,2.46,5033,No
187,40,"Olive Oil, Napa Xtra Virgin ORG","organic napa valley naturals olive oil, exra virgin, first cold press",6.89,4.65,5137,No
188,37,"Tea canister, chalkboard dipped",Ceramic chalkboard dipped tea canister,5.89,4.79,4042,No
189,41,Dr Bronners Castile Soap - Lavender,Dr Bronners lavender soap,7.52,5.06,2003,Yes
190,41,Dr Bronners Castile Soap - Eucalyptus,Dr. Bronners Castile Soap in Eucalyptus.,7.52,5.14,2008,Yes
191,41,Dr Bronners Castile Soap - Baby Unscented,"Dr Bronners baby unscented, biodegrad.",7.52,5.06,2005,Yes
192,41,ShiKai Shower Gel Pomegranate,Shikai pomegranate shower gel in,8.15,4.88,2001,No
193,41,Shikai Shower Gel - Yuzu,"Shikai shower gel, yuzu in BULK",8.15,4.88,2007,Yes
194,11,Dark Chocolate Chips ALLERGEN FREE ORG,"dark chocolate chips, organic, fair trade, soy and dairy free.",8.91,4.89,5028,Yes
195,3,Chico Bags,colored reuseable Chico VITA bag in pouch,7.49,4.94,1001,Yes
196,13,Pamela's Bagged Mix,Pamelas Gluten Free pancake and waffle mix,7.86,4.95,5063,No
197,42,EO Conditioner - Grapefruit Mint,BULK EO Grapefruit Mint conditioner,8.37,5.02,2040,Yes
198,42,EO Shampoo - Grapefruit Mint,EO grapefruit mint shampoo,8.37,5.02,2043,Yes
199,42,EO Conditioner Rose Geranium,EO Rose Geranium Conditioner,8.37,5.02,2045,No
200,38,Almond Butter / Diced Almonds,"Diced Almond stock for grinder, or purchase",7.58,4.25,5135,Yes
201,11,WHLS - Cream of Tarter,5 lb bag cream of tarter,39.82,33.85,5007,No
202,44,ShiKai Lotion - Coconut,ShiKai coconut lotion in BULK,8.75,5.25,2048,Yes
203,44,Shikai Lotion Pomegranate,Shikai pomegranate hand and body lotion in BULK,8.75,5.25,2051,No
204,44,Shikai Lotion - Yuzu,"Shikai hand and body lotion, yuzu in BULK",8.75,5.25,2052,Yes
205,29,Dates - Medjool ORG,Fancy Medjool dates,8.95,5.82,5049,Yes
206,24,Nutritional Yeast,"Nutritional Yeast Flakes, mini flake, GMO free",10.39,6.24,5045,Yes
207,43,Mustard Seed Yellow ORG,Organic mustard seed,11.54,5.09,5077,Yes
208,23,Apricot Kernel Oil,Apricot oil,9.79,5.85,2012,Yes
209,11,Raw Cacao Powder ORG,"Cacao Powder, O Raw",12.39,5.49,5031,Yes
210,42,Giovanni Shampoo - 50/50,Giovanni BULK 50 50 shampoo,9.68,5.81,2039,Yes
211,42,Giovanni Shampoo Smooth as Silk,BULK Giovanni smooth as silk shampoo,9.12,5.65,2042,No
212,42,Giovanni Conditioner - 50/50,Giovanni BULK conditioner 50/50,9.68,5.81,2047,Yes
213,43,Garlic Salt ORG,Organic Garlic Salt,11.7,5.85,5111,Yes
214,9,Teapot Green,Green teapot with filter,11.49,5.74,1019,No
215,3,Tote organic cotton w logo,Organic cotton tote with  decal,7.69,5.85,4019,No
216,14,Emulsifying Wax,"emulsifying wax, body care",9.78,5.87,3001,Yes
217,43,Mustard - Ground ORG,"organic ground mustard weed, yellow",12.11,5.9,5092,Yes
218,46,Chunks Of Energy - Cacao & Goji,Cacao and goji enegy chunks,8.79,5.49,5177,Yes
219,9,Teapot White,White ceramic tea pot with strainer,11.49,5.99,1020,No
220,43,Mustard Seed Brown ORG,,9.99,6,5119,Yes
221,37,"Canister, SM white wood lid",small white ceramic container with wood lid,4.89,6,4073,No
222,17,Sesame Seeds - Black ORG,organic black sesame seeds,7.89,6,5156,No
223,38,Cinnamon Roasted Almonds,Cinnamon roasted almonds from Almond Brothers,8.89,6.33,5133,Yes
224,43,Red Chili Pepper Flakes ORG,"Red chili peppers, flakes",16.06,6.03,5104,No
225,14,Beeswax,yellow beeswax beads,10.13,5.73,3006,Yes
226,22,Grizzly growler,64 oz stainless steel growler,12.49,6.25,4062,No
227,47,"Eco straw, box",eco straws by box of 400,9.97,6.48,W60000,No
228,48,Witch Hazel Org,"Organic Witch Hazel, toner",10.88,6.53,2033,No
229,13,WHLS- Almond Meal ORG,organic fine ground almond meal,10.11,6.56,W50058,Yes
230,43,Onion Powder ORG,organic powdered onion,13.35,7.41,5113,Yes
231,29,Dried Cherries,Dried tart cherries,12.47,7.48,5052,Yes
232,35,Granola Bee's Knees ORG,Organic Bee's Knees Granola,8.32,6.77,5026,No
233,43,Cayenne Powder ORG,"Organic Cayenne powder, Fair Trade",12.68,6.78,5101,No
234,43,Korintji Cinnamon,"Cinnamon, Grade A, from Glory Bee",14.89,8.92,5103,No
235,31,WHLS- Tomato Sauce ORG 6.63lb Can,6.63 lb cans organic tomato sauce,8.09,6.88,W50022,Yes
236,23,Sweet Almond Oil,Sweet almond oil skin care,7.12,4.63,2010,Yes
237,43,Poppy Seed ORG,organic poppy seed in jar,15.52,6.95,5081,Yes
238,37,"Canister, LRG ceramic dipped, white and cream","White and cream ceramic dipped canister, Large",9.32,6.99,4041,No
239,11,Cacao Nibs ORG,Raw Organic Cacao Nibs,11.89,6.75,5030,Yes
240,37,"Canister, LRG white wood lid",large white ceramic canister with wood lid,5.89,7,4074,No
241,38,Walnut Pieces Conv,conventional walnut pieces,8.89,5.29,5130,No
242,27,Gummy Delish Fish ORG,Organic GF delish fish,9.84,6.1,5021,Yes
243,33,Himalayan Pink Salt,himalayan pink salt in jar,8.32,7.04,5151,No
244,14,Cocoa Butter,natural cocoa butter. raw body care ingredient.,11.9,6.95,3002,Yes
245,43,WHLS- Caraway Seed ORG 1lb Bag,"Organic caraway seed, whole",8.51,7.23,W50098,Yes
246,43,Coriander Whole ORG,Organic whole coriander seed,13.56,7.48,5074,No
247,43,Mustard Seed - Whole ORG,Organic whole mustard seed,14.69,7.5,5071,No
248,43,Dill Seed ORG,organic dill seed,12.54,12.54,5086,Yes
249,43,"Onion Powder, Conv.",White onion powdered,11.75,7.41,5078,No
250,33,"WHLS- Bob's Sea Salt, (6) 20oz packs",Bob's Red Mill sea salt (6) 20oz packs,12.28,7.98,W50155,Yes
251,1,Oil & Vinegar Set Ceramic,oil and vinegar ceramic set,7.92,7.92,4072,No
252,43,Turmeric ORG,organic ground Aunt Pattys tumeric,22.68,11.34,5094,Yes
253,3,Woven wine tote,"brown woven wine tote, bag, 3 compartment",7.99,7.99,1004,No
254,43,Five Spice Powder,five spice powder,14.31,8,5087,Yes
255,33,"WHLS- celtic sea salt, 1lb package",1lb bags celtic sea salt for restaurants,9.88,8.4,W50154,Yes
256,29,Dried Mango Cheeks ORG,"Dried Mango, Organic no sulfer",12.16,8.53,5054,Yes
257,31,WHLS- Pumpkin Natural 6.63lb,Canned pumpkin for cafe sales,10.06,8.55,W50024,Yes
258,43,Cinnamon Sticks,"Cinnamon sticks, whole",30.2,15.1,5097,Yes
259,38,Raw Almonds ORG,"organic almonds, raw pariel supreme almonds",12.22,9.42,5129,Yes
260,43,Ground Black Pepper,Coarsely ground black pepper,16.89,7.88,5108,Yes
261,43,Celery Seed ORG,Organic whole celery seed,15.35,8.74,5069,Yes
262,14,French Green Clay,raw body care ingredient. french green clay,14.66,9.6,3004,Yes
263,36,Yerba Mate Tea - Guayaki ORG,Organic Guakaki Yerba Mate loose leaf tea,13.54,8.81,5199,No
264,38,Raw Cashews ORG,"Raw organic cashews, 320 to a lb.",11.19,6.37,5128,Yes
265,43,Oregano,Oregano cut and sifted,14.2,5.11,5117,Yes
266,43,No Chicken Veggie Broth,"Powdered ""chicken"" broth, vegetarian",12.8,7.04,5112,Yes
267,36,Gunpowder Mint Green,Gunpowder pearl mint green tea,14.17,9.25,5202,No
268,43,Curry Powder ORG,Organic curry powder,15.22,9.3,5084,Yes
269,43,Chicory Root ORG,"Organic chicory root, granulated",19.2,11.75,5072,Yes
270,43,Ginger Ground ORG,Organic ground ginger root,18.78,9.72,5090,Yes
271,36,Hibiscus - Cut and Sifted,Cut and sifted Organic Hibiscus,15.79,9.95,5197,No
272,49,Ana's Beeswax Wrap,three pack of beeswax wrap by Anna,16.39,10,1013,Yes
273,43,Cumin - Ground ORG,organic ground cumin seed,23.84,10.17,5073,No
274,43,WHLS- Black Peppercorns Conv Aunt Pattys 1lb,Aunt Patty's black peppercorns,16.47,14,W50105,Yes
275,43,Basil ORG,Organic sweet basil cut and sifted,21.64,6.8,5068,Yes
276,43,Rosemary Leaf ORG,Organic rosemary leaf whole,20.7,10.5,5093,No
277,43,Italian Seasoning,Italian seasoning,24.34,10.75,5076,Yes
278,9,French Press,"french press, glass",18.95,11.49,1010,Yes
279,50,Coffee Mexican ORG,"The Bean Whole coffee, Organic Beans, Mexican",15.84,11,5035,No
280,50,Coffee Colombian,The Bean Whole coffeeColumbian,15.84,11,5036,No
281,50,Coffee Papua New Guinea,"The Whole Bean coffee, Papua New Guinea",15.84,11,5037,No
282,50,Coffee Guatemalan Tikal,"The Bean Whole coffee beans, Guatemalian",15.84,11,5038,No
283,50,Coffee Honduran ORG,"The Bean Whole coffee, Honduran Organic beans",15.84,11,5039,No
284,50,Coffee Burundi Fair Trade,"The Bean Whole coffee, Burundi fair trade",15.84,11,5040,No
285,38,Sliced Almonds,,8.49,4.9,5136,Yes
286,43,Paprika ORG,organic paprika powder,20,11.26,5079,No
287,43,Garlic Powder ORG,garlic powder,20.1,12.06,5088,No
288,3,"Fanny pack, insulated",navy blue insulated fanny pack,22.49,11.43,1003,No
289,36,Rooibos Tea ORG,Organic rooibos tea in jar,22.74,14.78,5194,Yes
290,43,Star Anise Select Whole,whole star anise,18.38,11.67,5075,No
291,43,Smoked Paprika ORG,organic smoked paprika,21.54,11.7,5080,No
292,43,Sage ORG,"Sage, Organic, rubbed",20,12.02,5120,Yes
293,43,Black Peppercorns ORG,organic black peppercorns in jar,27.84,13.92,5082,No
294,36,Chai - Black Tea Ground,"chai black tea ground, in jar",19.62,12.75,5190,No
295,36,Peppermint Tea ORG,organic peppermint tea in jar,21.25,12.13,5192,Yes
296,33,Fleur de Sel Salt,fleur de sel in jar,20,13,5152,No
297,43,WHLS- Black Pepper Finely Ground 1lb,"finely ground, 1 lb bag for cafe",15.39,13.08,W50107,Yes
298,36,Chai - Indian Spice Tea,"Indian Spice Chia, loose leaf tea",19.89,13.56,5198,Yes
299,36,Luscious Licorice Tea,Luscious licorice tea in jar,18.4,11.21,5196,Yes
300,36,English Breakfast Tea ORG,Organic English breakfast tea in jar,25.98,12.99,5193,Yes
301,43,Bay Leaf ORG,Whole organic bay leaf,27.33,14,5096,Yes
